State FIPS,County FIPS,Postal,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
02,261,AK,Valdez-Cordova Census Area,858,646,"1,070",9.0,6.8,11.2,262,190,334,11.2,8.1,14.3,158,108,208,9.3,6.4,12.2,"60,297","54,586","66,008",,,,,,
02,270,AK,Wade Hampton Census Area,"2,530","2,011","3,049",34.1,27.1,41.1,"1,403","1,075","1,731",46.0,35.2,56.8,853,619,"1,087",39.5,28.7,50.3,"30,883","28,181","33,585",,,,,,
02,275,AK,Wrangell City and Borough,307,230,384,13.1,9.8,16.4,102,74,130,19.8,14.4,25.2,61,42,80,15.9,10.9,20.9,"42,752","38,911","46,593",,,,,,
02,282,AK,Yakutat Borough,97,73,121,14.7,11.1,18.3,40,29,51,22.6,16.3,28.9,25,17,33,20.3,13.8,26.8,"49,331","44,562","54,100",,,,,,
02,290,AK,Yukon-Koyukuk Census Area,"1,512","1,221","1,803",27.1,21.9,32.3,541,409,673,34.9,26.4,43.4,320,229,411,29.1,20.8,37.4,"35,177","32,501","37,853",,,,,,
04,000,AZ,Arizona,"1,105,075","1,082,284","1,127,866",17.6,17.2,18.0,"401,664","387,835","415,493",25.0,24.1,25.9,"263,822","251,690","275,954",23.0,21.9,24.1,"46,787","46,278","47,296","129,973","123,200","136,746",29.0,27.5,30.5
04,001,AZ,Apache County,"24,394","21,102","27,686",34.5,29.8,39.2,"9,358","7,803","10,913",41.8,34.9,48.7,"5,966","4,799","7,133",36.4,29.3,43.5,"30,651","28,209","33,093",,,,,,
04,003,AZ,Cochise County,"22,199","18,347","26,051",17.7,14.6,20.8,"8,010","6,293","9,727",26.9,21.1,32.7,"5,234","4,056","6,412",24.7,19.1,30.3,"43,677","40,744","46,610",,,,,,
04,005,AZ,Coconino County,"30,121","26,694","33,548",23.8,21.1,26.5,"8,820","7,279","10,361",28.1,23.2,33.0,"5,850","4,794","6,906",26.2,21.5,30.9,"43,051","40,660","45,442",,,,,,
04,007,AZ,Gila County,"10,403","8,193","12,613",19.8,15.6,24.0,"3,756","2,898","4,614",33.6,25.9,41.3,"2,454","1,876","3,032",30.3,23.2,37.4,"37,430","34,253","40,607",,,,,,
04,009,AZ,Graham County,"7,185","5,613","8,757",21.6,16.9,26.3,"2,716","2,093","3,339",26.3,20.3,32.3,"1,851","1,414","2,288",26.0,19.9,32.1,"39,299","35,702","42,896",,,,,,
04,011,AZ,Greenlee County,"1,052",813,"1,291",12.7,9.8,15.6,399,302,496,16.7,12.7,20.7,259,195,323,15.0,11.3,18.7,"49,592","46,357","52,827",,,,,,
04,012,AZ,La Paz County,"4,769","3,716","5,822",23.7,18.5,28.9,"1,377","1,059","1,695",38.1,29.3,46.9,918,698,"1,138",35.8,27.2,44.4,"33,818","30,992","36,644",,,,,,
04,013,AZ,Maricopa County,"625,090","603,538","646,642",16.6,16.0,17.2,"233,478","221,652","245,304",23.5,22.3,24.7,"152,489","143,567","161,411",21.5,20.2,22.8,"50,424","49,954","50,894",,,,,,
